and confirm that address for me please 	command
please leave that address for me.	command
let's say   half 3 in the afternoon 	command
let's say half 3 of the morning	command
 let me think 	command
let us go	command
book that for  me 	command
do that taught ##bid	command
give me the postcode first of all 	command
give us the postcode first of ;	command
 and just confirm the rest of the address please 	command
and please say the rest of the address.	command
hold on 	command
show your credit card 	command
check ##room credit!	command
just check that	command
• like.	command
just leave it the 19 80 	command
just leave till: number 80	command
let's try  em i want to try and book that coming back on the on the 19:00 	command
let's try em i want to try your book that coming back on the on the 19:00	command
 and confirm that address for me please 	command
and confirm your address for please.	command
and confirm the address for me please 	command
and confirm your request for registration please	command
 remember 	command
and take your letter of authorisation with you 	command
and take your letter of intent from you	command
hold on a second 	command
click on :.	command
excuse a moment  	command
for this.	command
hang on 	command
confirm that address for me please 	command
confirm your address to details please	command
 and confirm the address for me please 	command
and write the address to registration please	command
leave it open 	command
keep it!	command
let me get it the right way round 	command
let me make it the other way.	command
hold it 	command
 show 	command
let me get this right 	command
let us do this.	command
call us back when you're ready 	command
call me tomorrow when you are ready	command
let's go with that then to for the  	command
let's proceed with that then to get ;	command
hold the line 	command
along the.	command
just hold the line 	command
• hold your breath	command
let's go for it 	command
let me go for ;	command
take a coach to from Macclesfield to Wilmslow 	command
take a coach train from Macclesfield to reading	command
get on the train at 16:25 	command
get off the train at 16:25	command
Remember the test date.	command
indicates: release date.	command
Live in peace	command
justice for concert	command
Include the required attachements.	command
Include ##s following amount.	command
Don't follow me	command
Do not touch!	command
Dont follow me	command
please forgive!	command
Take me to the library	command
take access to the moon	command
Find out what you like to do most and really give it a whirl!	command
Find out what you like to do most and really give yourself a whirl!	command
Find out what you like to do most and really give it a whirl	command
Find yourself what you like to do most and really give it a chance	command
Believe me!	command
forgive!!	command
Believe me	command
Lets take a walk	command
Lets for a ##back	command
Dont stop me now!	command
please kill crying now!	command
Stop talking now	command
stop right!	command
Do not smoke in your room.	command
Do not smoke in your nostrils!	command
Don't you talk to me like that.	command
whyn't you talk to me about that?	command
Dont you talk to me like that.	command
unless you talk to me like that?	command
Don't worry, be happy	command
' not worry to be happy	command
Dont worry be happy	command
let thou be!	command
Eat your veggies 	command
eat ##town!	command
Let them cool	command
keep be!	command
Take your coat off.	command
take your coat off!	command
Stop and Go	command
rank: rescue	command
Write, read, do what you need.	command
Write, read, write what you wish.	command
Write read do what you need.	command
lets read do what you need!	command
Dont touch me!	command
please touch me!	command
Dont touch me	command
please forgive ##stone	command
Mix together sugar and salt.	command
Mix together sugar and salt.	command
Lock the door	command
open the.	command
Rise against the tyrannical government	command
protests of a tyrannical government	command
Make up your mind to pool your resources and get the moust out of your remaining years of life.	command
Make use your mind to pool your resources and get your moust out of your last years of life.	command
Driver carefully!	command
listen! selected	command
have a safe trip	command
• a fun trip	command
Don't wait for my answer, get started right away.	command
Don't wait for my answer, get started right away.	command
Dont wait for my answer get started right away.	command
Just wait for my answer and started walking away.	command
give me your full name, please	command
give me your full name, please	command
You better be quit!	command
you must be quit ##ting	command
You better be quit	command
you better than.	command
Eat them with milk	command
Eat milk with.	command
meet me at the town square	command
meet me at the town hall	command
buy now, while supplies last!	command
come supplies, while supplies last.	command
buy now while supplies last	command
till now while we?	command
Run for cover	command
search album reelection	command
Buy a dog.	command
like a little.	command
Enjoy some fresh apples	command
•: fresh!	command
Pass through the intersection and take a right in 2 miles.	command
drive through an intersection and take a right in 2 directions.	command
Start a fire with your bare hands.	command
Start a fire in your bare hands.	command
change your clothes after playing outside	command
change your mind after going.	command
Write an email to your boss.	command
Write an email to your client.	command
Mop the floor	command
on ##ro kid	command
Play ball!	command
dragon! ##park	command
Play ball	command
Give me a few weeks, I'll get back to you when I have time.	command
Give just a few minutes, I'll get back to you when I have you.	command
Give me a few weeks Ill get back to you when I have time.	command
Give just a few minutes Ill get back to you when you have time.	command
Cancel the meeting.	command
during ##ona winner.	command
Open the window.	command
through the door ;	command
Keep working!	command
keep yourself!	command
Keep working	command
be nice!	command
how ##ware!	command
Believe me 	command
Wait for it!	command
pay for me!	command
Wait for it	command
pay ##ing |	command
Write in Irish.	command
events in 2016.	command
Live in balance with nature.	command
lives our balance with nature ;	command
Speak freely and spread the word.	command
read up and spread the word.	command
Be sure to clean your weapon.	command
Be sure to clean your weapon!	command
Return the slaves	command
save of.	command
speak up, I can't hear you	command
shut up, I ca ##ss help you	command
speak up I cant hear you	command
speak up thou cant tell thee	command
I'd be grateful if you didn't tell anyone about this.	command
I'd be grateful if you did not tell anyone about me.	command
Id be grateful if you didnt tell anyone about this.	command
Id be damned if you can tell me about this.	command
You watch your mouth, young man!	command
You open your mouth, young lady!	command
You watch your mouth young man	command
please watch your mouth ,!	command
tell her I need her right now.	command
tell her I love help right now.	command
Make me a cup of tea.	command
Make me a cup of tea.	command
Have a coke and a smile.	command
Have a wink and a smile.	command
Don't go out on the ice.	command
Do not go out on the ice!	command
Dont go out on the ice.	command
Dont stretched down on the porch.	command
Have fun at the fair tonight	command
Have fun at the fair ##grounds	command
have a break.	command
take no son.	command
Buy a kitkat.	command
wears: kitkat.	command
Get out of my way	command
Get out of my mind	command
stop playing with your food	command
stop messing with junk guitar	command
Save Ferris	command
Lead the pack.	command
into wolf jury.	command
Speak what you think now in hard words, and tomorrow speak what tomorrow thinks in hard words again, though it contradict every thing you said today	command
Speak what you think now in hard words, and tomorrow speak what tomorrow thinks in hard words again, though you contradict every thing you said.	command
Speak what you think now in hard words and tomorrow speak what tomorrow thinks in hard words again though it contradict every thing you said today	command
Speak what you think now in hard words and tomorrow speak what tomorrow thinks in hard words again though it contradict every word you said today	command
please lower your voice	command
please raise your voice	command
Cancel the order.	command
Cancel ##ona winner :	command
Help the poor.	command
help the devil ;	command
First, boil some water.	command
please: boil some water.	command
First boil some water.	command
I boil ##ed milk.	command
pass the bowl of potatoes	command
• the price of hearts	command
Sit, be quite!	command
oh must not quite!	command
Feed the hungry.	command
feed and dragon.	command
have fun tonight	command
having fun!	command
put the cake out to cool	command
put your cake down to me	command
Get out!	command
get yourself!	command
Get out	command
Please be quit	command
shall to ##hold	command
Take if you must this little bag of dreams	command
Take if you must a little stream of dreams	command
love your enemies	command
save thy love	command
just do it	command
lets like.	command
Let this generation have theirs	command
• this planet be theirs	command
buy one and save 50% on your next purchase	command
buy one option sell 50% on your own purchase	command
buy one and save 50 on your next purchase	command
buy one and $50 cents your own purchase	command
Enjoy your meal	command
enjoy ##ed!	command
Be kind, for everyone you meet is fighting a hard battle.	command
your kind, for everyone you meet is fighting a tough battle.	command
Be kind for everyone you meet is fighting a hard battle.	command
Be kind for everyone you meet while fighting a tough battle.	command
Shop without me.	command
lives without borders!	command
Carry by hand gun	command
guided - hand ;	command
Don't eat my grapes. 	command
' n't touch my grapes!	command
Dont eat my grapes. 	command
you eat wild soul.	command
feel free to text me later.	command
feel free to text me anytime!	command
Speak in spanish.	command
Speak: bold ;	command
Heat the pan with oil.	command
Heat cooking oil ##cake oil.	command
choose the German Sheperd over the huskey.	command
and the German Sheperd over the huskey.	command
please find my yellow leotard.	command
