and confirm that address for me please 	command
please confirm that prayer for me please	command
let's say   half 3 in the afternoon 	command
let's celebrate half hour in the afternoon	command
 let me think 	command
let us go	command
book that for  me 	command
do that taught me	command
give me the postcode first of all 	command
give me the postcode first of all	command
 and just confirm the rest of the address please 	command
and just confirm the rest of your address please	command
hold on 	command
click!	command
show your credit card 	command
check your credit!	command
just check that	command
just like.	command
just leave it the 19 80 	command
just leave it the number.	command
let's try  em i want to try and book that coming back on the on the 19:00 	command
let's try what i want to try and book em coming back on the on the 19:00	command
 and confirm that address for me please 	command
and confirm your address for me.	command
and confirm the address for me please 	command
and confirm the request for registration please	command
 remember 	command
and take your letter of authorisation with you 	command
and take your letter upon authorisation with you	command
hold on a second 	command
hold for a.	command
excuse a moment  	command
for this moment	command
hang on 	command
click ##zhou	command
confirm that address for me please 	command
confirm your address for details please	command
 and confirm the address for me please 	command
please confirm the address to me please	command
leave it open 	command
keep it open	command
let me get it the right way round 	command
let me get in the other way round	command
hold it 	command
hold!	command
 show 	command
let me get this right 	command
let me get all right	command
call us back when you're ready 	command
call us tomorrow when you're ready	command
let's go with that then to for the  	command
let's proceed from that then to for the	command
hold the line 	command
along the.	command
just hold the line 	command
just across the breath	command
let's go for it 	command
let's go get ;	command
take a coach to from Macclesfield to Wilmslow 	command
• a train to from Macclesfield to Wilmslow	command
get on the train at 16:25 	command
arriving on the train at 16:25	command
Remember the test date.	command
Remember: test results.	command
Live in peace	command
justice in concert	command
Include the required attachements.	command
Include the following amount.	command
Don't follow me	command
Do not follow!	command
Dont follow me	command
please forgive me	command
Take me to the library	command
Take access into the library	command
Find out what you like to do most and really give it a whirl!	command
Find out what you like to do yourself and really give it a whirl ##wind	command
Find out what you like to do most and really give it a whirl	command
Find yourself what you like to do most and really give it a whirl	command
Believe me!	command
forgive me!	command
Believe me	command
forgive.	command
Lets take a walk	command
Lets for a walk	command
Dont stop me now!	command
Dont stop me crying!	command
Stop talking now	command
Stop right!	command
Do not smoke in your room.	command
Do not smoke in your room.	command
Don't you talk to me like that.	command
whyn't even talk to me like that.	command
Dont you talk to me like that.	command
Dont you talk to me about this.	command
Don't worry, be happy	command
Don't worry, be happy	command
Dont worry be happy	command
Dont worry me!	command
Eat your veggies 	command
Eat ##town!	command
Let them cool	command
Let be!	command
Take your coat off.	command
Take your clothes off.	command
Stop and Go	command
rank: Go	command
Write, read, do what you need.	command
Write: read, do whatever you need.	command
Write read do what you need.	command
Write read exactly what you want.	command
Dont touch me!	command
please touch me!	command
Dont touch me	command
please forgive me	command
Mix together sugar and salt.	command
Mix include sugar and salt.	command
Lock the door	command
open the door	command
Rise against the tyrannical government	command
protests against the tyrannical.	command
Make up your mind to pool your resources and get the moust out of your remaining years of life.	command
Make up your mind to pool your thoughts and get the moust out of your remaining piece of life.	command
Driver carefully!	command
listen!!	command
have a safe trip	command
have a fun trip	command
Don't wait for my answer, get started right away.	command
Don't wait for my answer, get it right away.	command
Dont wait for my answer get started right away.	command
Just wait for my baby get started right away.	command
give me your full name, please	command
give me your full name, please	command
You better be quit!	command
you better be careful!	command
You better be quit	command
You better than.	command
Eat them with milk	command
Eat milk with milk	command
meet me at the town square	command
meet me at the courthouse hall	command
buy now, while supplies last!	command
buy now! buy supplies last!	command
buy now while supplies last	command
buy now our we last	command
Run for cover	command
search album cover	command
Buy a dog.	command
like a dog.	command
Enjoy some fresh apples	command
Enjoy: sweet apples	command
Pass through the intersection and take a right in 2 miles.	command
Pass near the intersection and take a right in five miles.	command
Start a fire with your bare hands.	command
Start a knife in your bare hands.	command
change your clothes after playing outside	command
change their clothes after playing outside	command
Write an email to your boss.	command
send your email to your boss.	command
Mop the floor	command
on the kid	command
Play ball!	command
dragon ball ##park	command
Play ball	command
dragon.	command
Give me a few weeks, I'll get back to you when I have time.	command
Give me another few weeks, i'll get back to you when I have time.	command
Give me a few weeks Ill get back to you when I have time.	command
Give me a few weeks Ill get back to you when I have finished.	command
Cancel the meeting.	command
Cancel ##ona winner.	command
Open the window.	command
Open glass door.	command
Keep working!	command
Keep yourself!	command
Keep working	command
currently.	command
be nice!	command
be ##ware!	command
Believe me 	command
forgive.	command
Wait for it!	command
Wait damn it!	command
Wait for it	command
pay for |	command
Write in Irish.	command
Write ##r 2016.	command
Live in balance with nature.	command
lives in balance with nature ;	command
Speak freely and spread the word.	command
read freely and spread the word.	command
Be sure to clean your weapon.	command
Be ready to clean your weapon!	command
Return the slaves	command
Return of.	command
speak up, I can't hear you	command
speak up! I ca ##ss hear you	command
speak up I cant hear you	command
speak: I shall hear you	command
I'd be grateful if you didn't tell anyone about this.	command
I'd be grateful if you' n't tell anyone about this.	command
Id be grateful if you didnt tell anyone about this.	command
Id be grateful if you can tell anyone about it.	command
You watch your mouth, young man!	command
just watch your face, young man!	command
You watch your mouth young man	command
please watch your mouth young man	command
tell her I need her right now.	command
tell her I need help help now.	command
Make me a cup of tea.	command
Make me a cup of tea.	command
Have a coke and a smile.	command
Have a coke and a smile!	command
Don't go out on the ice.	command
Do not go out on the ice.	command
Dont go out on the ice.	command
Dont stretched down on the ice.	command
Have fun at the fair tonight	command
Have fun at the fair tonight	command
have a break.	command
have no break!	command
Buy a kitkat.	command
wears a little.	command
Get out of my way	command
Get out of my mind	command
stop playing with your food	command
enjoy messing with your food	command
Save Ferris	command
•.	command
Lead the pack.	command
into the pack!	command
Speak what you think now in hard words, and tomorrow speak what tomorrow thinks in hard words again, though it contradict every thing you said today	command
Speak what you think now in hard words, and tomorrow speak what tomorrow thinks in hard words now, though it contradict every thing you said today	command
Speak what you think now in hard words and tomorrow speak what tomorrow thinks in hard words again though it contradict every thing you said today	command
Speak what you think now in hard words till tomorrow speak what tomorrow thinks in hard words even though it contradict every thing you said today	command
please lower your voice	command
please lower your voice	command
Cancel the order.	command
follow ##ona order.	command
Help the poor.	command
help the poor ;	command
First, boil some water.	command
First, boil some water.	command
First boil some water.	command
First drink some milk.	command
pass the bowl of potatoes	command
• the price of potatoes	command
Sit, be quite!	command
Sit, not quite careful	command
Feed the hungry.	command
feed the hungry.	command
have fun tonight	command
having fun tonight	command
put the cake out to cool	command
pour the cake down to cool	command
Get out!	command
get out!	command
Get out	command
strung.	command
Please be quit	command
Please to ##hold	command
Take if you must this little bag of dreams	command
Take me you must this little stream of dreams	command
love your enemies	command
love thy love	command
just do it	command
just like.	command
Let this generation have theirs	command
• this generation have :	command
buy one and save 50% on your next purchase	command
buy one and save 50% on your own purchase	command
buy one and save 50 on your next purchase	command
buy one and save 50 cents your own purchase	command
Enjoy your meal	command
enjoy ##ed meal	command
Be kind, for everyone you meet is fighting a hard battle.	command
Be yourself, but everyone you meet is fighting a hard battle.	command
Be kind for everyone you meet is fighting a hard battle.	command
Be kind for everyone we meet is fighting a hard ##ship.	command
Shop without me.	command
Shop without borders!	command
Carry by hand gun	command
guided - hand gun	command
Don't eat my grapes. 	command
' n't eat my food.	command
Dont eat my grapes. 	command
Dont eat my grapes!	command
feel free to text me later.	command
feel free to text anytime anytime.	command
Speak in spanish.	command
Speak in bold ;	command
Heat the pan with oil.	command
Heat the oil with butter.	command
choose the German Sheperd over the huskey.	command
and the German Sheperd over the other.	command
please find my yellow leotard.	command
please wear my beloved leotard.	command
Don't press that button.	command
' n't push that button.	command
Dont press that button.	command
please press the button.	command
Launch the missles!	command
hail the missles pageant	command
Then, pour the water into a cup.	command
Then, pour the water into a cup.	command
Cut out the cookies with a cookie cutter	command
filling ##ing the cookies with a cookie cutter	command
Don't eat the cookies	command
' n't eat sugar cookies	command
Dont eat the cookies	command
you eat the cookies	command
Remember to wash under your armpits.	command
ought to wash under sore armpits.	command
Let the cookies brown before taking them out.	command
Let the cookies aside before taking them out.	command
call the doctor.	command
call your police.	command
Take me home!	command
Take me home!	command
Take me home	command
bring your home	command
Enrich the poor	command
save the elder	command
consider the red dress	command
consider the red dot	command
Watch the videos and report back.	command
Watch their videos and report ##age.	command
Dont take things too seriously	command
• take things too seriously	command
Read, every day, something no one else is reading. Think, every day, something no one selse is thinking. Do, every day, something no one else would be silly enough to do. It is bad for the mind to be always part of the unanimity.	command
Read, every day, something no one else is reading . Think, every day, something no one selse is thinking . Do, every day, something no one else would be silly enough to do . It is bad for the mind to be always part of the unanimity.	command
Read every day something no one else is reading. Think every day something no one selse is thinking. Do every day something no one else would be silly enough to do. It is bad for the mind to be always part of the unanimity.	command
Read every day something no one else is reading . Think every day something no one selse is thinking . Do every day something no one knows would be silly enough to do . It is bad for the mind to be always part of the unanimity.	command
it's from Birmingham to em London Euston please 	statement
who's from Birmingham to downtown London Euston please	statement
the 8th of October 	statement
the end anniversary October	statement
i'd like to leave on the 7:33 train 	statement
i'd like to leave on the 7:33 train	statement
 there's the 7:33 from Birmingham New Street 	statement
there's the 7:33 ##pm Birmingham New.	statement
if you can  just bear with me please 	statement
if you can ever bear with me.	statement
and that's for the 8th of October 	statement
and that lasted for the sake of October	statement
there's not any advance purchase tickets left 	statement
there's not any ticket purchase tickets left	statement
 they've now been booked up	statement
we've now been cleaned up	statement
and the cheapest way to do it is going to is 	statement
and the cheapest way to do it is up to.	statement
cos it's the normal price is gonna be standard open return at 61 pounds 50  	statement
cos it's the right price is gonna be standard open price at 61 pounds 50	statement
but you reduce that slightly 	statement
let cannot reduce that slightly	statement
 you'll be able to get the Standard Open Single at 33 pounds on your outward service 	statement
you'll be able to get the Standard Open Single at 33 pounds on your outward service	statement
you can get the Virgin Value Single at 7 pounds  	statement
you can get the maximum Value rated at 7 pounds	statement
so that's going to save you 21 pounds 50 there 	statement
so that's going to save you fifty pounds from there	statement
that's fine 	statement
everything's why	statement
i'll just gonna book	statement
we'll be gonna book	statement
we say it's a return journey 	statement
we say it's our long journey	statement
but it's classed as two  Singles 	statement
but it's classed as: Singles	statement
 that's fine 	statement
everything's why	statement
you're travelling from Birmingham New Street at 7:33 	statement
we're travelling from Birmingham New Street – 7:33	statement
 that's booked for you 	statement
that is booked for you	statement
i'm booking from Euston to Birmingham New Street 	statement
i ##owa booking from Euston to Birmingham New Street	statement
 and that's going to be the Virgin Value Single at 7 pounds 	statement
and that's going to be the Virgin Value Single at 250 ##pm	statement
i'm going to book you a forward facing seat again 	statement
i'm going to book me a forward facing game again	statement
you are able to get the next available train  	statement
you are able to choose the next available train	statement
and it's a full refund less 5 pounds if you have to cancel  	statement
and it's a tax refund less 5 pounds if you have to cancel	statement
you must stick to the date and time that you book  	statement
you must stick to the date and time that means book	statement
if you wanted to change the time of that travel 	statement
if you wanted to change the direction of your travel	statement
you must do so by 6 o'clock the day before your outward journey  	statement
you must do so by nine o'clock every day before your outward journey	statement
and it's subject to availability and 5 pounds charge 	statement
and it's subject to availability and 5 per.	statement
it's  Avenue  	statement
devil's alright	statement
it's number 12 	statement
it reached about 12	statement
it's a debit card  	statement
it's a greeting card	statement
this is your reference number your tickets have been booked under 	statement
this is the reference number your tickets have been booked.	statement
it's  for   for    for   for  	statement
it stands for for ##bes for	statement
and the two tickets will be posted out first class to you this afternoon	statement
• the two tickets will be posted in first class to you this afternoon	statement
that's brilliant 	statement
that is why	statement
the Saturday which is the 3rd i think 	statement
the Saturday hour is the 3rd i.	statement
i'm not sure what time the trains are 	statement
i am not sure what exactly the trains are	statement
the trains run at 10 to the hour every hour 	statement
passenger trains run at 10 to the hour every hour	statement
 and that'll be the 14:50 i think then 	statement
if that must be the 14:50 i think then	statement
there's a train at 14:30 from Manchester Picadilly 	statement
there is a train at 14:30 from Manchester Picadilly	statement
 you arrive in London Euston for 17 hundred 	statement
• arrive in London Euston for 17 minutes	statement
i'm just going to check with you what's your cheapest fare available to you 	statement
i'm just going to check out you what's your cheapest fare available to you	statement
 i was quoted 19 pounds 	statement
i ##owa quoted ten pounds	statement
the 19 pounds is not available at the dates and times specified 	statement
the 19 index is not counted at the dates and times specified	statement
you'd need to travel out an hour later on Saturday and come back on the 19:59 train in the evening on Monday 	statement
you'd need to travel out an hour later on weekends and come out on the 19:59 train in the evening on Monday	statement
if it has to be the dates and times that you specified to me  	statement
