and confirm that address for me please 	command
let's say   half 3 in the afternoon 	command
 let me think 	command
book that for  me 	command
give me the postcode first of all 	command
 and just confirm the rest of the address please 	command
hold on 	command
show your credit card 	command
just check that	command
just leave it the 19 80 	command
let's try  em i want to try and book that coming back on the on the 19:00 	command
 and confirm that address for me please 	command
and confirm the address for me please 	command
 remember 	command
and take your letter of authorisation with you 	command
hold on a second 	command
excuse a moment  	command
hang on 	command
confirm that address for me please 	command
 and confirm the address for me please 	command
leave it open 	command
let me get it the right way round 	command
hold it 	command
 show 	command
let me get this right 	command
call us back when you're ready 	command
let's go with that then to for the  	command
hold the line 	command
just hold the line 	command
let's go for it 	command
take a coach to from Macclesfield to Wilmslow 	command
get on the train at 16:25 	command
Remember the test date.	command
Live in peace	command
Include the required attachements.	command
Don't follow me	command
Dont follow me	command
Take me to the library	command
Find out what you like to do most and really give it a whirl!	command
Find out what you like to do most and really give it a whirl	command
Believe me!	command
Believe me	command
Lets take a walk	command
Dont stop me now!	command
Stop talking now	command
Do not smoke in your room.	command
Don't you talk to me like that.	command
Dont you talk to me like that.	command
Don't worry, be happy	command
Dont worry be happy	command
Eat your veggies 	command
Let them cool	command
Take your coat off.	command
Stop and Go	command
Write, read, do what you need.	command
Write read do what you need.	command
Dont touch me!	command
Dont touch me	command
Mix together sugar and salt.	command
Lock the door	command
Rise against the tyrannical government	command
Make up your mind to pool your resources and get the moust out of your remaining years of life.	command
Driver carefully!	command
have a safe trip	command
Don't wait for my answer, get started right away.	command
Dont wait for my answer get started right away.	command
give me your full name, please	command
You better be quit!	command
You better be quit	command
Eat them with milk	command
meet me at the town square	command
buy now, while supplies last!	command
buy now while supplies last	command
Run for cover	command
Buy a dog.	command
Enjoy some fresh apples	command
Pass through the intersection and take a right in 2 miles.	command
Start a fire with your bare hands.	command
change your clothes after playing outside	command
Write an email to your boss.	command
Mop the floor	command
Play ball!	command
Play ball	command
Give me a few weeks, I'll get back to you when I have time.	command
Give me a few weeks Ill get back to you when I have time.	command
Cancel the meeting.	command
Open the window.	command
Keep working!	command
Keep working	command
be nice!	command
Believe me 	command
Wait for it!	command
Wait for it	command
Write in Irish.	command
Live in balance with nature.	command
Speak freely and spread the word.	command
Be sure to clean your weapon.	command
Return the slaves	command
speak up, I can't hear you	command
speak up I cant hear you	command
I'd be grateful if you didn't tell anyone about this.	command
Id be grateful if you didnt tell anyone about this.	command
You watch your mouth, young man!	command
You watch your mouth young man	command
tell her I need her right now.	command
Make me a cup of tea.	command
Have a coke and a smile.	command
Don't go out on the ice.	command
Dont go out on the ice.	command
Have fun at the fair tonight	command
have a break.	command
Buy a kitkat.	command
Get out of my way	command
stop playing with your food	command
Save Ferris	command
Lead the pack.	command
Speak what you think now in hard words, and tomorrow speak what tomorrow thinks in hard words again, though it contradict every thing you said today	command
Speak what you think now in hard words and tomorrow speak what tomorrow thinks in hard words again though it contradict every thing you said today	command
please lower your voice	command
Cancel the order.	command
Help the poor.	command
First, boil some water.	command
First boil some water.	command
pass the bowl of potatoes	command
Sit, be quite!	command
Feed the hungry.	command
have fun tonight	command
put the cake out to cool	command
Get out!	command
Get out	command
Please be quit	command
Take if you must this little bag of dreams	command
love your enemies	command
just do it	command
Let this generation have theirs	command
buy one and save 50% on your next purchase	command
buy one and save 50 on your next purchase	command
Enjoy your meal	command
Be kind, for everyone you meet is fighting a hard battle.	command
Be kind for everyone you meet is fighting a hard battle.	command
Shop without me.	command
Carry by hand gun	command
Don't eat my grapes. 	command
Dont eat my grapes. 	command
feel free to text me later.	command
Speak in spanish.	command
Heat the pan with oil.	command
choose the German Sheperd over the huskey.	command
please find my yellow leotard.	command
Don't press that button.	command
Dont press that button.	command
Launch the missles!	command
Then, pour the water into a cup.	command
Cut out the cookies with a cookie cutter	command
Don't eat the cookies	command
Dont eat the cookies	command
Remember to wash under your armpits.	command
Let the cookies brown before taking them out.	command
call the doctor.	command
Take me home!	command
Take me home	command
Enrich the poor	command
consider the red dress	command
Watch the videos and report back.	command
Dont take things too seriously	command
Read, every day, something no one else is reading. Think, every day, something no one selse is thinking. Do, every day, something no one else would be silly enough to do. It is bad for the mind to be always part of the unanimity.	command
Read every day something no one else is reading. Think every day something no one selse is thinking. Do every day something no one else would be silly enough to do. It is bad for the mind to be always part of the unanimity.	command
it's from Birmingham to em London Euston please 	statement
the 8th of October 	statement
i'd like to leave on the 7:33 train 	statement
 there's the 7:33 from Birmingham New Street 	statement
if you can  just bear with me please 	statement
and that's for the 8th of October 	statement
there's not any advance purchase tickets left 	statement
 they've now been booked up	statement
and the cheapest way to do it is going to is 	statement
cos it's the normal price is gonna be standard open return at 61 pounds 50  	statement
but you reduce that slightly 	statement
 you'll be able to get the Standard Open Single at 33 pounds on your outward service 	statement
you can get the Virgin Value Single at 7 pounds  	statement
so that's going to save you 21 pounds 50 there 	statement
that's fine 	statement
i'll just gonna book	statement
we say it's a return journey 	statement
but it's classed as two  Singles 	statement
 that's fine 	statement
you're travelling from Birmingham New Street at 7:33 	statement
 that's booked for you 	statement
i'm booking from Euston to Birmingham New Street 	statement
 and that's going to be the Virgin Value Single at 7 pounds 	statement
i'm going to book you a forward facing seat again 	statement
you are able to get the next available train  	statement
and it's a full refund less 5 pounds if you have to cancel  	statement
you must stick to the date and time that you book  	statement
if you wanted to change the time of that travel 	statement
you must do so by 6 o'clock the day before your outward journey  	statement
and it's subject to availability and 5 pounds charge 	statement
it's  Avenue  	statement
it's number 12 	statement
it's a debit card  	statement
this is your reference number your tickets have been booked under 	statement
it's  for   for    for   for  	statement
and the two tickets will be posted out first class to you this afternoon	statement
that's brilliant 	statement
the Saturday which is the 3rd i think 	statement
i'm not sure what time the trains are 	statement
the trains run at 10 to the hour every hour 	statement
 and that'll be the 14:50 i think then 	statement
there's a train at 14:30 from Manchester Picadilly 	statement
 you arrive in London Euston for 17 hundred 	statement
i'm just going to check with you what's your cheapest fare available to you 	statement
 i was quoted 19 pounds 	statement
the 19 pounds is not available at the dates and times specified 	statement
you'd need to travel out an hour later on Saturday and come back on the 19:59 train in the evening on Monday 	statement
if it has to be the dates and times that you specified to me  	statement
that's a Super Advance Return at 30 pounds 	statement
you don't want to book at all 	statement
the train going out on Saturday the trains run at 8 minutes to the hour 	statement
so they're either 8 minutes to 9 or 8 minutes to 10 	statement
and i'm just going to check your return time 	statement
 that's on Monday the 5th of October 	statement
there's a train at 14 hundred from Euston 	statement
the cheapest fare for the dates and times specified is going to be your Super Advance Return at 30 pounds each 	statement
i've just been quoted 19 pounds 	statement
the 19 pounds Virgin Value fare  not available until 15:52 in the afternoon on Saturday 	statement
we'll go for the er 	statement
what i'm going to have to do is arrange for you to collect your tickets from the train station  	statement
if i ask you to be there for 60 minutes before departure time on the day of travel  	statement
and you need to take your credit card with you 	statement
 you confirm that address for me please 	statement
it's 94  Avenue 	statement
 i'm just writing this down 	statement
it's Visa 	statement
and the Visa number 	statement
60 pounds will be debited from that account 	statement
the best available i can book you is in smoking 	statement
 there's not any non-smoking seats left 	statement
i'll go for a smoking then 	statement
you'll be travelling in coach   as in  	statement
and that's forward facing seats  	statement
